id,ship_name,mmsi,sog,cog,heading,nav_status,lon,lat,width,length,ship_type,p99_speed,iso_flag,iso_anomaly,p99_anomaly,speed_anomaly
7480,BROWARD,366693850,0.0,202.4,274,0,-80.12022,26.07282,12,30,52,11.152,1,False,False,False
7488,OCEAN CHAMPLAIN II,316046641,0.0,344.1,32,5,-73.1154,46.04851,4,15,50,18.228,1,False,False,False
7489,CINDERELLA II,265609540,0.1,258.2,32,0,18.07906,59.33168,8,40,69,0.096,1,False,True,True
7492,WARNOWSTAR,211549170,0.0,360.0,511,0,12.08776,54.17903,8,25,69,0.0,1,False,False,False
7498,ANTRACYTH,210620000,11.4,58.9,62,0,1.85548,51.15275,16,100,80,11.4,1,False,False,False
7505,AMADEUS CARA,211867530,0.0,347.0,107,5,4.92088,52.37751,12,135,60,0.0,1,False,False,False
7550,BALABAC ISLAND,352001517,0.0,342.5,20,5,-122.91818,49.18075,30,180,70,12.9,1,False,False,False
7554,TUGIDAK,367525770,0.0,352.0,352,0,-122.36739,47.65443,8,40,0,0.0,1,False,False,False
7557,DOKTER WAGEMAKER,244030035,0.0,195.6,315,0,4.7806,53.00339,23,131,69,0.0,1,False,False,False
7558,PB PLENTY,503384300,0.0,166.5,264,0,151.77137,-32.90622,11,24,52,5.874,1,False,False,False
7568,LA PRIMAVERA,244670393,0.0,0.0,511,5,6.98007,53.30336,12,110,79,9.854999999999999,1,False,False,False
7574,HAIFENG,636020805,3.5,331.4,329,0,25.53669,59.93484,44,250,80,12.939,1,False,False,False
7576,NOMZAMO 1,601367500,0.0,220.4,131,7,18.44092,-33.91437,10,63,30,0.0,1,False,False,False
7578,ATLANTIS,257690600,0.0,360.0,511,0,5.95041,59.18347,6,15,56,0.0,1,False,False,False
7580,TONNE,211289920,0.0,0.0,0,0,9.97157,53.52322,9,30,69,0.0,1,False,False,False
7592,PIRAJA,257654500,3.0,234.8,247,0,8.58025,57.72723,7,38,30,3.0,1,False,False,False
7598,COLORADO,244670043,6.2,279.0,511,0,4.09217,51.93918,23,110,79,6.194,1,False,True,True
7599,BDS PILOT,244790510,0.0,276.1,511,0,5.8247,51.85127,6,16,50,0.09399999999999996,1,False,False,False
7604,KERTU,256956000,10.4,253.5,254,0,22.88238,59.57054,15,101,79,10.5,1,False,False,False
8534,ENGAGE ADMIRAL,503194360,4.0,297.1,296,0,151.2012,-33.8504,12,30,95,4.294,1,False,False,False
8589,HKK 6,477997212,0.0,122.0,108,15,114.15654,22.3046,11,40,40,6.523999999999998,1,False,False,False
8770,MS-BOREAS,244313949,0.0,360.0,511,5,6.60544,53.20084,6,38,37,0.0,1,False,False,False
8773,RIND,257031860,0.0,263.2,511,0,23.66137,70.66739,6,21,55,0.0,1,False,False,False
8776,SCHWALBE,211477000,2.5,305.3,303,7,12.24167,56.25123,5,17,30,2.5,1,False,False,False
8779,WALTERSHOF,211437320,0.0,344.8,255,0,9.95633,53.54469,9,29,60,0.0,1,False,False,False
8789,AMERICAN TRIUMPH,366047000,0.0,265.2,180,0,-122.37944,47.63047,16,77,26,0.0,1,False,False,False
